1159,2900.83,2,0,1450.41,837.21,7.40%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=170 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1085,2900.83,2,0,1450.41,837.21,7.40%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=190 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
796,2372.46,4,6.82,593.12,804.05,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=210 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
360,2372.46,4,6.82,593.12,804.05,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=10 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1038,2146.07,2,0,1073.04,629.98,5.73%,0,max_open_risk=1.5 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=190 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
754,2146.07,2,0,1073.04,629.98,5.73%,0,max_open_risk=1.5 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=170 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1208,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=390 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1205,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=370 ,STDDEV_threshold=0.7,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1168,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=230 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1160,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=370 ,STDDEV_threshold=0.2,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1123,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=370 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
